Date,Time,Location,Video or Image,Name of (first) image,"If image, name of last image in ""sequence"" with howler in",Nr of capuchins present (min),Howler ID,Carrier ID (or agesex if unclear),Age-sex classes present,Behavior toward howler,,,,,,,,,,,,,,,,,
12/09/2022,12:09:38,CEBUS-11,Video,CEBUS-11-R12__2022-09-12__12-09-38,,3,H6 (dead),,"Juvenile male (BAL), juvenile (PEA?), subadult male","Balthaser without howler using tools, other juvenile (PEA?) pushes brown blob (dead howler) down slope behind CEBUS-11. Was there since 10:25 that day. ",,,,,,,,,,,,,,,,,
12/09/2022,12:29:37,CEBUS-04,Video,CEBUS-04-R12__2022-09-12__12-29-38,,2,H5,BAL,"Juvenile male (BAL), juvenile (PEA)","BAL with healthy howler on back. Aggressively swipes at PEA who was using tools, who avoids him",,,,,,,,,,,,,,,,,
12/09/2022,12:39:27,CEBUS-02,Video,CEBUS-02-R12__2022-09-12__12-39-28,CEBUS-02-R12__2022-09-12__12-50-04,4,H5,"BAL, TER","Juvenile male (BAL), adult male 2x (SPT and unknown), subadult male (TER)","several videos in a row. Most noteworthy see transfer of howler. Howler climbs of BAL when he is using tools to consume anvil debris, then BAL leaves (howler lost calls at him), and TER comes running over and picks up howler",,,,,,,,,,,,,,,,,
12/09/2022,13:04:18,CEBUS-05,Video,,,,,,,Balthasar clearly without howler. ,,,,,,,,,,,,,,,,,
12/09/2022,15:24:54,CEBUS-08,Image,,,,,,,Balthasar clearly without howler. ,,,,,,,,,,,,,,,,,
12/09/2022,15:44:05,CEBUS-07,Image,CEBUS-07-R12__2022-09-12__15-44-05(1),CEBUS-07-R12__2022-09-12__15-54-02(3),5,H5,MIC,"Adult female, subadult male 2x (MIC & unknown), juvenile male (BAL) and juvenile (PEA)","MIC using tools with howler baby dorsal, displaces BAL from anvil",,,,,,,,,,,,,,,,,
12/09/2022,17:38:30,CEBUS-04,Video,,several videos in a row,,,,,"hear adult howler vocalize, sounds like a high-pitched howl (maybe a female?). Very weird vocalization",,,,,,,,,,,,,,,,,
13/09/2022,07:58:41,CEBUS-04,Video,,,,,,,hear adult male howler roaring ,,,,,,,,,,,,,,,,,
13/09/2022,08:11:36,CEBUS-08,Image,CEBUS-08-R12__2022-09-13__08-11-36(1),CEBUS-08-R12__2022-09-13__08-13-07(1),1,H5,TER,Subadult male (TER),TER using tools with howler ventral,subadult using tools,,,,,,,,,,,,,,,,
13/09/2022,09:16:50,CEBUS-06,Video,CEBUS-06-R12__2022-09-13__09-16-50,,2,H5,TER,Subadult male 2x (TER & unknown),TER traveling with howler on back + subadult foraging in the back,,,,,,,,,,,,,,,,,
13/09/2022,09:17:00,EXP-ANV-01,Video,EXP-ANV-01-R12__2022-09-13__09-17-03,,1,H5,TER,subadult male (TER),subadult (TER) with howler on back. Howler falls off and looks weak. Vocalizes. TER looks over but doesn’t really respond or help. Have other angle with images and crotch shot of howler,other angle from EXP-ANV-02. crotch shot of howler!,,,,,,,,,,,,,,,,
13/09/2022,16:18:13,CEBUS-05,Video,,,,,,,Balthasar clearly without howler. ,,,,,,,,,,,,,,,,,
14/09/2022,06:37:54,CEBUS-07,Image,CEBUS-07-R12__2022-09-14__06-37-54(1),CEBUS-07-R12__2022-09-14__06-43-48(61),1,H5 (dead),TER,Subadult male (TER),"TER using tools with howler lying next to anvil. Howler looks dead. TER hits howler while he's using tools with the hammerstone (on side of its head, several times)",using tools,,,,,,,,,,,,,,,,
14/09/2022,15:00:00,CEBUS-02,Video,,,,,,,Balthasar clearly without howler. ,,,,,,,,,,,,,,,,,
15/09/2022,12:41:10,CEBUS-11,Video,,,,,,,Balthasar clearly without howler. ,,,,,,,,,,,,,,,,,
01/11/2022,15:05:43,CEBUS-05,Video,,,,,,,Balthasar clearly without howler. ,,,,,,,,,,,,,,,,,
03/11/2022,15:16:12,TU-158,Image,TU-158__2022-11-03__15-16-12(1),TU-158__2022-11-03__15-16-27(20),,,,,Howler adult male traveling on the ground,,,,,,,,,,,,,,,,,
07/11/2022,13:25:56,TU-141,Image,TU-141__2022-11-07__13-25-56(1),TU-141__2022-11-07__13-26-21(34),2,H7,Subadult male,"Subadult male (TER/MIC), juvenile","Subadult male (TER/MIC) carrying howler ventral, traveling",,,,,,,,,,,,,,,,,
07/11/2022,15:49:13,TU-141,Image,TU-141__2022-11-07__15-49-13(1),TU-141__2022-11-07__15-49-25(20),1,H7,BAL,Juvenile male (BAL),BAL carrying howler ventral and foraging in leaf litter,,,,,,,,,,,,,,,,,
07/11/2022,16:35:30,CEBUS-07,Image,CEBUS-07-R12__2022-11-07__16-35-30(1),CEBUS-07-R12__2022-11-07__16-35-48(30),1,H7,Subadult male,Subadult male (TER/MIC) ,Subadult male (TER/MIC) with howler half dorsal half ventral,,,,,,,,,,,,,,,,,
08/11/2022,16:06:56,CEBUS-02-AUX,Image,CEBUS-02-AUX-R12__2022-11-08__16-06-56(1),CEBUS-02-AUX-R12__2022-11-08__16-10-04(8),9,H7,JOK,"Subadult male (JOK, 2x unknown), Adult female (2x), Juvenile (4x)","Subadult male (JOK) holding howler ventral. Howler looks really rough (patchy fur, small). Other capuchins are eating coconut and foraging, two juveniles inspect/sniff the howler",,,,,,,,,,,,,,,,,
13/11/2022,07:27:21,CEBUS-05,Video,,,,,,,Balthasar clearly without howler. ,,,,,,,,,,,,,,,,,
30/11/2022,16:35:26,TU-155,Image,TU-155__2022-11-30__16-35-26(1),TU-155__2022-11-30__16-35-38(20),,,,,"Howler adult female traveling on the ground, possibly with small ventral infant",,,,,,,,,,,,,,,,,
09/12/2022,10:47:01,CEBUS-07,Image,CEBUS-07-R12__2022-12-09__10-47-01(1),CEBUS-07-R12__2022-12-09__10-47-18(30),2,H8,Subadult male,Subadult male and juvenile,Subadult male traveling with howler dorsal,using tools,,,,,,,,,,,,,,,,
10/12/2022,06:35:47,CEBUS-06,Video,CEBUS-06-R12__2022-12-10__06-35-52,,4,H8,Subadult male,"Subadult male (2x), adult male (2x)",Subadult male traveling with howler dorsal,using tools,,,,,,,,,,,,,,,,
10/12/2022,07:33:08,TU-135,Image,TU-135__2022-12-10__07-33-08(1),TU-135__2022-12-10__07-33-39(40),8,H8,Subadult male,"Adult female, adult male, subadult male, juvenile 3x, adult female with dorsal infant",Subadult male traveling with howler dorsal,,,,,,,,,,,,,,,,,
10/12/2022,15:41:44,CEBUS-07,Image,,,,,,,BAL alone,,,,,,,,,,,,,,,,,
10/12/2022,11:42:08,CEBUS-08,Image,CEBUS-08-R12__2022-12-10__11-42-08(1),CEBUS-08-R12__2022-12-10__11-42-26(30),1,H8,MIC,Subadult male (MIC ),Subadult male (MIC) traveling with howler dorsal,,,,,,,,,,,,,,,,,
10/12/2022,15:24:13,CEBUS-09,Image,CEBUS-09-R12__2022-12-10__15-24-13(1),CEBUS-09-R12__2022-12-10__15-24-39(30),1,H8,ZIM,Juvenile (ZIM),"ZIM carrying howler dorsal, inspecting camera",,,,,,,,,,,,,,,,,
10/12/2022,15:25:54,CEBUS-08,Image,CEBUS-08-R12__2022-12-10__15-25-54(1),CEBUS-08-R12__2022-12-10__15-26-07(17),2,H8,ZIM,"Juvenile (ZIM), adult male","Juvenile male (ZIM) with howler dorsal, traveling, adult male foraging in stream",,,,,,,,,,,,,,,,,
10/12/2022,15:57:06,CEBUS-07,Image,CEBUS-07-R12__2022-12-10__15-57-06(1),CEBUS-07-R12__2022-12-10__16-05-25(48),4,H8,ZIM,"Juvenile 2x (ZIM and BAL), adult male (2x)","ZIM with howler dorsal drinking water and eating coconut. Howler climbs off, tries to eat coconut. ZIM grabbing at howler? BAL there too foraging, and two adult males foraging as well",,,,,,,,,,,,,,,,,
10/12/2022,17:35:12,CEBUS-07,Image,CEBUS-07-R12__2022-12-10__17-35-08(1),CEBUS-07-R12__2022-12-10__17-36-19(30),6,H8,TER,"Subadult male (TER), adult female (2x), adult male (SPT),  juvenile 2x",Subadult (TER) with howler dorsal,,,,,,,,,,,,,,,,,
10/12/2022,17:53:51,CEBUS-08,Image,CEBUS-08-R12__2022-12-10__17-53-51(1),CEBUS-08-R12__2022-12-10__17-54-09(16),1,H8,TER,Subadult male (TER),Subadult male (TER) with howler dorsal. Foraging in stream,,,,,,,,,,,,,,,,,
15/12/2022,13:46:59,TU-137,Image,TU-137__2022-12-15__13-46-59(1),TU-137__2022-12-15__13-47-13(19),,,,,"juvenile howler on the ground by itself traveling, older than infants we see being carried. Closest capuchin sighting at this camera 1.5 hours later",,,,,,,,,,,,,,,,,
16/12/2022,14:58:32,CEBUS-07,Image,CEBUS-07-R12__2022-12-16__14-58-32(1),CEBUS-07-R12__2022-12-16__14-59-45(30),1,H9,TER,Subadult male (TER),"Subadult male with howler dorsal, visually foraging. Howler looks healthy (new one?)",,,,,,,,,,,,,,,,,
16/12/2022,15:47:24,EXP-ANV-01,Video,EXP-ANV-01-R12__2022-12-16__15-47-28,,2,H9,TER,"subadult male (TER), adult female","Subadult (MIC or TER?) using tools with dorsal howler, howler lost-calling and seems alert",,,,,,,,,,,,,,,,,
17/12/2022,18:05:15,CEBUS-08,Image,CEBUS-08-R12__2022-12-17__18-05-15(1),CEBUS-08-R12__2022-12-17__18-05-32(30),2,H9,Subadult male,Subadult male (2x),"Subadult male, unclear who, traveling with howler dorsal",,,,,,,,,,,,,,,,,
18/12/2022,08:59:31,TU-158,Image,TU-158__2022-12-18__08-59-31(1),TU-158__2022-12-18__09-00-47(64),1,H9,ZIM,Juvenile male (ZIM),"Juvenile male (ZIM) with howler dorsal, inspecting camera",,,,,,,,,,,,,,,,,
19/12/2022,07:24:43,TU-135,Image,TU-135__2022-12-19__07-24-43(1),TU-135__2022-12-19__07-24-55(20),3,H9,MIC,"Subadult male (MIC), juvenile, unknown","MIC with howler dorsal, traveling",,,,,,,,,,,,,,,,,
19/12/2022,14:27:30,CEBUS-08,Image,CEBUS-08-R12__2022-12-19__14-27-30(1),CEBUS-08-R12__2022-12-19__14-29-38(60),3,H9,TER,"Subadult male (TER), juvenile, adult male","Subadult male (TER) with howler dorsal, eating insects from stream",,,,,,,,,,,,,,,,,
17/02/2023,18:48:35,CEBUS-07,Image,CEBUS-07-R13__2023-02-17__18-48-35(1),CEBUS-07-R13__2023-02-17__18-48-54(30),2,H10,TER,Subadult male 2x (TER & JOK),"Subadult male (TER) with howler dorsal, traveling with other subadult male (JOK) following behind",,,,,,,,,,,,,,,,,
18/02/2023,09:53:41,CEBUS-08,Image,CEBUS-08-R13__2023-02-18__09-53-41(1),CEBUS-08-R13__2023-02-18__09-53-59(30),2,H10,BAL,"Juvenile male (BAL), subadult male (MIC)","Balthasar with howler dorsal visually foraging in streambed, other subadult male also visually foraging",,,,,,,,,,,,,,,,,
18/02/2023,17:17:06,EXP-ANV-01,Video,EXP-ANV-01-R13__2023-02-18__17-17-06,EXP-ANV-01-R13__2023-02-18__17-18-18,6,H10,TER,"Subadult male (TER), adult female, adult male, juvenile 3x (BAL)","TER using tools with howler dorsal. Howler appears weak and slides off TER, but does clamber back on before TER leaves. ",more triggers before and after (>30 seconds distance) so likely bigger part of group there,,,,,,,,,,,,,,,,
18/02/2023,17:17:18,EXP-ANV-02,Image,EXP-ANV-02-R13__2023-02-18__17-17-18(1),EXP-ANV-02-R13__2023-02-18__17-18-46(60),6,H10,,,Alternative view of events from EXP-ANV-01,,,,,,,,,,,,,,,,,
19/02/2023,06:47:36,CEBUS-11,Video,CEBUS-11-R13__2023-02-19__06-47-36,CEBUS-11-R13__2023-02-19__06-52-15,12+,H10,TER,"Subadult male (TER), adult female (3x), adult male (1x), juvenile (6+), subadult male (2x)","TER with howler dorsal at anvil eating something without tools. Other capuchins foraging, juveniles showing interest/scrounging on food of TER. One juvenile also friendly interest in howler and touches it. Howler is lost-calling and looking at canopy, hear other howler(s) call back (adult howler male howling). Howler also dismounts from TER and then TER immediately crouches down for howler to get back on. Capuchins alert looking up occassionally",Several videos in a row,,,,,,,,,,,,,,,,
19/02/2023,07:16:37,CEBUS-11,Video,CEBUS-11-R13__2023-02-19__07-16-37,CEBUS-11-R13__2023-02-19__07-24-58,12+,H10,Off-screen so unclear,"Adult male (2x, Tom and unknown), adult female (3x), subadult male (TER, MIC, 2x), juvenile (8x)",Howler off-screen but hear it lost-calling and other howler(s) responding. Capuchins are foraging but vigilant and looking into canopy,Several videos in a row,,,,,,,,,,,,,,,,
19/02/2023,07:26:08,CEBUS-11,Video,CEBUS-11-R13__2023-02-19__07-26-08,CEBUS-11-R13__2023-02-19__07-28-54,15+,H10,"ZIM, MIC, BAL","Adult male (2x, Tom and unknown), adult female (3x), subadult male (TER, MIC, 2x), juvenile (ZIM, BAL, 6x)","Howler is with one carrier (Zim) but then walks off and perhaps tries to get into tree. Other subadult male (Mick) grabs it by the tail and throws it on anvil. Mick agonistic towards howler infant (threatening, grabbing and pushing down, nipping). Howler infant upset. Then multiple capuchins vocal threat at canopy, very alert. Howler runs off screen but gets grabbed by first carrier again (ZIM). Then hear howler making upset sounds off-screen in next video, and it shows up dorsally on Balthasar after.",,,,,,,,,,,,,,,,,
19/02/2023,07:40:36,CEBUS-11,Video,CEBUS-11-R13__2023-02-19__07-40-38,,9+,H10,BAL,"Juvenile male (BAL), adult male 2x, adult female 2x, subadult male (LAR), juvenile 3x","BAL with howler infant dorsal, other capuchins still seem vigilant but are foraging etc. Potentially wheezing vocalization. Adult female threatens BAL with howler and he avoids her",,,,,,,,,,,,,,,,,
19/02/2023,08:00:41,CEBUS-11,Video,CEBUS-11-R13__2023-02-19__08-00-41,,2,H10,ZIM,"Juvenile male (ZIM), adult female","ZIM with howler dorsal, howler climbs off and tries to walk away but ZIM grabs it and follows. Adult female threatens Zim with howler",,,,,,,,,,,,,,,,,
19/02/2023,17:24:49,CEBUS-09,Image,CEBUS-09-R13__2023-02-19__17-24-49(1),CEBUS-09-R13__2023-02-19__17-25-07(13),1,H10,BAL,Juvenile male (BAL),BAL carrying howler dorsal traveling,,,,,,,,,,,,,,,,,
19/02/2023,17:25:28,CEBUS-08,Image,CEBUS-08-R13__2023-02-19__17-25-28(1),CEBUS-08-R13__2023-02-19__17-26-25(42),1,H10,BAL,Juvenile male (BAL),"BAL carrying howler dorsal while visually foraging, howler appears weak and sliding off",,,,,,,,,,,,,,,,,
19/02/2023,17:29:10,CEBUS-08,Image,CEBUS-08-R13__2023-02-19__17-29-10(1),CEBUS-08-R13__2023-02-19__17-29-28(30),2,H10,BAL,"Juvenile male (BAL), juvenile",BAL carrying howler dorsal while using tools,,,,,,,,,,,,,,,,,
19/02/2023,17:33:32,CEBUS-08,Image,CEBUS-08-R13__2023-02-19__17-33-32(1),CEBUS-08-R13__2023-02-19__17-36-14(24),3,H10,BAL,"Juvenile male (BAL), juvenile 2x","BAL carrying howler dorsal while using tools, howler sliding off a bit",,,,,,,,,,,,,,,,,
19/02/2023,18:08:33,CEBUS-08,Image,CEBUS-08-R13__2023-02-19__18-08-33(1),CEBUS-08-R13__2023-02-19__18-08-50(30),1,H10,BAL,Juvenile male (BAL),BAL carrying howler dorsal traveling,,,,,,,,,,,,,,,,,
19/02/2023,18:13:13,CEBUS-08,Image,CEBUS-08-R13__2023-02-19__18-13-13(1),CEBUS-08-R13__2023-02-19__18-13-30(30),1,H10,BAL,Juvenile male (BAL),BAL carrying howler dorsal using tools,,,,,,,,,,,,,,,,,
20/03/2023,14:44:22,EXP-ANV-01,Video,EXP-ANV-01-R13__2023-03-20__14-44-22,EXP-ANV-01-R13__2023-03-20__14-54-57,3,H11,TER,"Subadult male (TER), juvenile 2x","TER using tools with very small howler dorsal/ventral. Howler hardly has eyes open, but does cling. No vocalizing. Have some kind of conflict occurring at 14:47",,,,,,,,,,,,,,,,,
20/03/2023,14:44:33,EXP-ANV-02,Image,EXP-ANV-02-R13__2023-03-20__14-44-33(1),EXP-ANV-02-R13__2023-03-20__14-58-36(59),3,H11,,,"Alternative angle of EXP-ANV-01, very good quality pictures!",,,,,,,,,,,,,,,,,
21/03/2023,15:37:38,CEBUS-08,Image,CEBUS-08-R13__2023-03-21__15-37-38(1),CEBUS-08-R13__2023-03-21__15-37-55(30),2,H11,TER,Subadult male 2x (TER and MIC),"Using tools with howler ventral, upside down (so head hanging underneath tail of capuchin).",,,,,,,,,,,,,,,,,
21/03/2023,15:52:10,CEBUS-08,Image,CEBUS-08-R13__2023-03-21__15-52-10(1),CEBUS-08-R13__2023-03-21__15-52-28(30),1,H11,TER,Subadult male (TER),Using tools with howler sideways clinging to arm,,,,,,,,,,,,,,,,,
21/03/2023,15:59:29,CEBUS-08,Image,CEBUS-08-R13__2023-03-21__15-59-29(1),CEBUS-08-R13__2023-03-21__15-59-46(30),1,H11,TER,Subadult male (TER),Traveling with howler ventral upside down,,,,,,,,,,,,,,,,,
21/03/2023,16:02:44,CEBUS-08,Image,CEBUS-08-R13__2023-03-21__16-02-44(1),CEBUS-08-R13__2023-03-21__16-02-57(30),1,H11,TER,Subadult male (TER),Traveling with howler ventral upside down,,,,,,,,,,,,,,,,,
